year,country,cell_subscriptions,internet_users,unemployment,population,bank_branches,tourism_arrivals,region,income_group
2010,Andorra,84.06818386,81,NA,84419,NA,1808000,Europe & Central Asia,High income: nonOECD
2011,Andorra,83.53432222,81,NA,82326,NA,2242000,Europe & Central Asia,High income: nonOECD
2012,Andorra,81.50204186,86.43442462,NA,79316,NA,2238000,Europe & Central Asia,High income: nonOECD
2013,Andorra,80.70261809,94,NA,75902,NA,2335000,Europe & Central Asia,High income: nonOECD
2014,Andorra,82.64319489,95.9,NA,72786,NA,NA,Europe & Central Asia,High income: nonOECD
2010,Angola,48.10120904,10,NA,21219954,8.987244593,425000,Sub-Saharan Africa,Upper middle income
2011,Angola,59.82618856,14.776,NA,21942296,10.15946312,481000,Sub-Saharan Africa,Upper middle income
2012,Angola,61.40627578,16.93721011,NA,22685632,10.97698388,528000,Sub-Saharan Africa,Upper middle income
2013,Angola,61.87329711,19.1,NA,23448202,12.36646941,650000,Sub-Saharan Africa,Upper middle income
2014,Angola,63.4792082,21.26,NA,24227524,12.86325728,NA,Sub-Saharan Africa,Upper middle income
2010,Antigua and Barbuda,192.5532769,47,NA,87233,38.85064129,230000,Latin America & Caribbean,High income: nonOECD
2011,Antigua and Barbuda,199.6642164,52,NA,88152,36.68883458,241000,Latin America & Caribbean,High income: nonOECD
2012,Antigua and Barbuda,143.0138432,58,NA,89069,36.09891001,247000,Latin America & Caribbean,High income: nonOECD
2013,Antigua and Barbuda,127.0856254,63.4,NA,89985,35.53923383,244000,Latin America & Caribbean,High income: nonOECD
2014,Antigua and Barbuda,120.0180412,64,NA,90900,32.07979119,NA,Latin America & Caribbean,High income: nonOECD
2010,Argentina,141.383022,45,7.699999809,41222875,13.02644879,5325000,Latin America & Caribbean,High income: nonOECD
2011,Argentina,149.0906224,51,7.199999809,41655616,13.15217168,5705000,Latin America & Caribbean,High income: nonOECD
2012,Argentina,156.564756,55.8,7.199999809,42095224,13.25689692,5587000,Latin America & Caribbean,High income: nonOECD
2013,Argentina,162.5274217,59.9,6.599999905,42538304,13.30162343,5571000,Latin America & Caribbean,High income: nonOECD
2014,Argentina,158.735762,64.7,7.300000191,42980026,13.3038166,NA,Latin America & Caribbean,High income: nonOECD
2010,Armenia,130.4322327,25,19,2963496,18.25486853,684000,Europe & Central Asia, Lower middle income
2011,Armenia,108.336201,32,18.39999962,2967984,19.62666196,758000,Europe & Central Asia, Lower middle income
2012,Armenia,111.9146632,37.5,17.29999924,2978339,20.88775495,963000,Europe & Central Asia, Lower middle income
2013,Armenia,112.4206552,41.9,16.20000076,2992192,21.31561133,1084000,Europe & Central Asia, Lower middle income
2014,Armenia,115.9232102,46.3,NA,3006154,22.26452014,NA,Europe & Central Asia, Lower middle income
2010,Aruba,129.72824,62,10.60000038,101597,NA,824000,Latin America & Caribbean,High income: nonOECD
2011,Aruba,NA,69,NA,101936,20.96125892,869000,Latin America & Caribbean,High income: nonOECD
2012,Aruba,131.8565401,74,NA,102393,21.96193204,904000,Latin America & Caribbean,High income: nonOECD
2013,Aruba,134.873823,78.9,NA,102921,19.28593814,979000,Latin America & Caribbean,High income: nonOECD
2014,Aruba,135.0658893,83.78,NA,103441,19.05737461,NA,Latin America & Caribbean,High income: nonOECD
2010,Australia,100.4263074,76,5.199999809,22031750,30.72536806,5790000,East Asia & Pacific, High income: OECD
2011,Australia,104.610551,79.48769771,5.099999905,22340024,30.34234126,5771000,East Asia & Pacific, High income: OECD
2012,Australia,105.585695,79,5.199999809,22728254,30.93024355,6032000,East Asia & Pacific, High income: OECD
2013,Australia,106.8434974,83,5.699999809,23125868,30.189884,6382000,East Asia & Pacific, High income: OECD
2014,Australia,131.2305468,84.56,6.099999905,23490736,29.21998937,NA,East Asia & Pacific, High income: OECD
2010,Austria,145.6928199,75.17,4.800000191,8363404,11.29093334,22004000,Europe & Central Asia, High income: OECD
2011,Austria,154.426039,78.7399931,4.599999905,8391643,15.11338914,23012000,Europe & Central Asia, High income: OECD
2012,Austria,160.5397387,80.02999392,4.900000095,8429991,15.99939306,24151000,Europe & Central Asia, High income: OECD
2013,Austria,156.2304116,80.6188,5.300000191,8479375,15.58411628,24813000,Europe & Central Asia, High income: OECD
2014,Austria,151.9112515,81,5.599999905,8534492,14.90247754,NA,Europe & Central Asia, High income: OECD
2010,Azerbaijan,100.0593201,46,5.599999905,9054332,9.843432393,1280000,Europe & Central Asia,Upper middle income
2011,Azerbaijan,109.9720704,50,5.400000095,9173082,9.975294011,1562000,Europe & Central Asia,Upper middle income
2012,Azerbaijan,108.7683381,54.2,5.199999809,9295784,9.657146807,1986000,Europe & Central Asia,Upper middle income
2013,Azerbaijan,107.6134072,58.7,5,9416801,10.14314391,2130000,Europe & Central Asia,Upper middle income
2014,Azerbaijan,110.9053634,61,4.900000095,9537823,10.73983805,NA,Europe & Central Asia,Upper middle income
2010,"Bahamas, The",118.8292307,43,NA,360830,36.14669091,1370000,Latin America & Caribbean,High income: nonOECD
2011,"Bahamas, The",81.5628489,65,13.69999981,366711,35.36080387,1346000,Latin America & Caribbean,High income: nonOECD
2012,"Bahamas, The",80.65383375,71.74820281,14,372388,34.98710323,1422000,Latin America & Caribbean,High income: nonOECD
2013,"Bahamas, The",76.05187427,72,16.20000076,377841,34.01921917,1364000,Latin America & Caribbean,High income: nonOECD
2014,"Bahamas, The",71.43772006,76.92,NA,383054,33.43175288,NA,Latin America & Caribbean,High income: nonOECD
2010,Bahrain,125.2084477,55,1.100000024,1261319,NA,11952000,Middle East & North Africa,High income: nonOECD
2011,Bahrain,131.009991,76.9999665,1.200000048,1306014,NA,6732000,Middle East & North Africa,High income: nonOECD
2012,Bahrain,161.1670576,88,1.200000048,1333577,NA,8062000,Middle East & North Africa,High income: nonOECD
2013,Bahrain,165.9088811,90.0000397,NA,1349427,NA,9163000,Middle East & North Africa,High income: nonOECD
2014,Bahrain,173.2739335,90.99998,NA,1361930,NA,NA,Middle East & North Africa,High income: nonOECD
2010,Bangladesh,44.94535882,3.7,4.5,151616777,7.444321081,303000,South Asia, Lower middle income
2011,Bangladesh,55.19256723,4.5,NA,153405612,7.651115794,155000,South Asia, Lower middle income
2012,Bangladesh,62.82023906,5,NA,155257387,7.848278195,125000,South Asia, Lower middle income
2013,Bangladesh,74.42964608,6.63,NA,157157394,8.015092531,148000,South Asia, Lower middle income
2014,Bangladesh,75.92489163,9.6,NA,159077513,8.207064827,NA,South Asia, Lower middle income
2010,Barbados,124.8452189,65.1,10.80000019,279566,18.56493063,532000,Latin America & Caribbean,High income: nonOECD
2011,Barbados,123.4606322,67,11.19999981,280602,19.74818838,568000,Latin America & Caribbean,High income: nonOECD
2012,Barbados,123.3298378,70,11.60000038,281580,20.48555216,536000,Latin America & Caribbean,High income: nonOECD
2013,Barbados,108.1027529,73,11.5,282503,19.05529066,509000,Latin America & Caribbean,High income: nonOECD
2014,Barbados,106.7781561,76.67,NA,283380,20.65671128,NA,Latin America & Caribbean,High income: nonOECD
2010,Belarus,108.8697059,31.8,1.200000048,9490000,3.192722033,120000,Europe & Central Asia,Upper middle income
2011,Belarus,113.1688625,39.64889566,0.699999988,9473000,2.097520608,116000,Europe & Central Asia,Upper middle income
2012,Belarus,113.5179254,46.91,0.600000024,9464000,1.705140171,119000,Europe & Central Asia,Upper middle income
2013,Belarus,118.786176,54.17,0.5,9466000,1.559108299,137000,Europe & Central Asia,Upper middle income
2014,Belarus,122.5011386,59.02,0.5,9470000,NA,NA,Europe & Central Asia,Upper middle income
2010,Belgium,111.0841886,75,8.300000191,10920272,44.89322184,7186000,Europe & Central Asia, High income: OECD
2011,Belgium,113.5309512,81.609996,7.099999905,11047744,43.40366141,7494000,Europe & Central Asia, High income: OECD
2012,Belgium,111.3315482,80.71999055,7.5,11128246,42.42308852,7560000,Europe & Central Asia, High income: OECD
2013,Belgium,110.9031799,82.1702,8.399999619,11182817,41.38588026,7684000,Europe & Central Asia, High income: OECD
2014,Belgium,114.2699575,85,8.5,11225207,39.8640122,NA,Europe & Central Asia, High income: OECD
2010,Belize,62.93070205,28.2,23.29999924,321609,26.10664538,242000,Latin America & Caribbean,Upper middle income
2011,Belize,70.31965347,30.7,NA,329193,25.26712771,250000,Latin America & Caribbean,Upper middle income
2012,Belize,53.20712214,31,14.39999962,336707,24.46080418,277000,Latin America & Caribbean,Upper middle income
2013,Belize,52.61072612,33.6,11.69999981,344193,25.05455059,294000,Latin America & Caribbean,Upper middle income
2014,Belize,50.712566,38.7,NA,351706,24.28824405,NA,Latin America & Caribbean,Upper middle income
2010,Benin,74.39604921,3.13,1,9509798,2.936515288,199000,Sub-Saharan Africa,Low income
2011,Benin,79.40049868,4.148323066,NA,9779391,3.149726474,209000,Sub-Saharan Africa,Low income
2012,Benin,83.65431589,4.5,NA,10049792,3.139268462,220000,Sub-Saharan Africa,Low income
2013,Benin,93.25782193,4.9,NA,10322232,3.215374227,231000,Sub-Saharan Africa,Low income
2014,Benin,101.7110697,5.3,NA,10598482,3.31289072,NA,Sub-Saharan Africa,Low income
2010,Bermuda,135.794676,84.21,NA,65124,NA,232000,North America,High income: nonOECD
2011,Bermuda,NA,88.336,NA,64564,NA,236000,North America,High income: nonOECD
2012,Bermuda,139.5363101,91.29930452,8.399999619,64798,NA,232000,North America,High income: nonOECD
2013,Bermuda,144.3197992,95.3,6.699999809,65001,NA,236000,North America,High income: nonOECD
2014,Bermuda,90.88006599,96.8,NA,65181,NA,NA,North America,High income: nonOECD
2010,Bhutan,54.99993723,13.6,3.299999952,720246,14.29788436,41000,South Asia, Lower middle income
2011,Bhutan,66.37918152,21,3.099999905,732246,16.2467972,66000,South Asia, Lower middle income
2012,Bhutan,75.6097824,24,2.099999905,743711,12.44930734,105000,South Asia, Lower middle income
2013,Bhutan,72.19831102,29.9,2.900000095,754637,16.0409764,116000,South Asia, Lower middle income
2014,Bhutan,82.07006186,34.37,2.599999905,765008,15.50913235,NA,South Asia, Lower middle income
2010,Bolivia,70.68598048,22.4,NA,9918245,8.574866475,679000,Latin America & Caribbean, Lower middle income
2011,Bolivia,80.90771949,30,2.700000048,10078238,9.268285484,711000,Latin America & Caribbean, Lower middle income
2012,Bolivia,90.44349501,35.34,NA,10238762,9.679068318,798000,Latin America & Caribbean, Lower middle income
2013,Bolivia,97.69945273,36.94,NA,10399931,11.4512075,798000,Latin America & Caribbean, Lower middle income
2014,Bolivia,96.33724828,39.02,NA,10561887,15.01931397,NA,Latin America & Caribbean, Lower middle income
2010,Bosnia and Herzegovina,80.87078571,42.75,27.20000076,3835258,30.97367967,365000,Europe & Central Asia,Upper middle income
2011,Bosnia and Herzegovina,82.60007887,47.77,27.60000038,3832310,31.37652592,392000,Europe & Central Asia,Upper middle income
2012,Bosnia and Herzegovina,87.57471473,52.78,28.10000038,3828419,30.58720819,439000,Europe & Central Asia,Upper middle income
2013,Bosnia and Herzegovina,91.09530785,57.79,27.5,3823533,30.82727709,529000,Europe & Central Asia,Upper middle income
2014,Bosnia and Herzegovina,91.27895029,60.8,NA,3817554,31.26861778,NA,Europe & Central Asia,Upper middle income
2010,Botswana,120.0102471,6,17.89999962,2047831,9.190757802,2145000,Sub-Saharan Africa,Upper middle income
2011,Botswana,145.9838697,8,NA,2089706,8.846641996,NA,Sub-Saharan Africa,Upper middle income
2012,Botswana,153.7856491,11.5,NA,2132822,8.96363777,NA,Sub-Saharan Africa,Upper middle income
2013,Botswana,160.6410528,15,NA,2176510,9.227687229,NA,Sub-Saharan Africa,Upper middle income
2014,Botswana,167.2975939,18.5,NA,2219937,9.481982396,NA,Sub-Saharan Africa,Upper middle income
2010,Brazil,100.8810115,40.65,NA,198614208,43.99385036,5161000,Latin America & Caribbean,Upper middle income
2011,Brazil,119.0023853,45.69,6.699999809,200517584,45.43298195,5433000,Latin America & Caribbean,Upper middle income
2012,Brazil,125.0018521,48.56,6.099999905,202401584,46.52309981,5677000,Latin America & Caribbean,Upper middle income
2013,Brazil,135.3050481,51.04,6.5,204259377,46.99370062,5813000,Latin America & Caribbean,Upper middle income
2014,Brazil,138.9514906,57.6,4.800000191,206077898,47.321139,NA,Latin America & Caribbean,Upper middle income
2010,Brunei Darussalam,108.6214859,53,NA,393302,22.78570528,214000,East Asia & Pacific,High income: nonOECD
2011,Brunei Darussalam,109.015478,56,1.700000048,399443,22.65556563,242000,East Asia & Pacific,High income: nonOECD
2012,Brunei Darussalam,113.9487384,60.27306504,NA,405512,22.2174292,209000,East Asia & Pacific,High income: nonOECD
2013,Brunei Darussalam,112.2144457,64.5,NA,411499,22.43575362,225000,East Asia & Pacific,High income: nonOECD
2014,Brunei Darussalam,110.0570645,68.77,NA,417394,19.82809358,NA,East Asia & Pacific,High income: nonOECD
2010,Bulgaria,138.0389827,46.23,10.19999981,7395599,91.70623297,6047000,Europe & Central Asia,Upper middle income
2011,Bulgaria,142.8461575,47.97999305,11.30000019,7348328,59.84301552,6328000,Europe & Central Asia,Upper middle income
2012,Bulgaria,148.1311121,51.89998767,12.30000019,7305888,61.16490044,6541000,Europe & Central Asia,Upper middle income
2013,Bulgaria,145.1876887,53.0615,12.89999962,7265115,60.59734439,6898000,Europe & Central Asia,Upper middle income
2014,Bulgaria,137.7065953,55.49,11.39999962,7223938,60.32692696,NA,Europe & Central Asia,Upper middle income
2010,Burkina Faso,36.72938024,2.4,NA,15632066,1.942344966,274000,Sub-Saharan Africa,Low income
2011,Burkina Faso,48.02719397,3,NA,16106851,2.112493592,238000,Sub-Saharan Africa,Low income
2012,Burkina Faso,60.60765215,3.725034916,NA,16590813,2.157930818,237000,Sub-Saharan Africa,Low income
2013,Burkina Faso,66.37728295,9.1,NA,17084554,2.342033881,218000,Sub-Saharan Africa,Low income
2014,Burkina Faso,71.73746951,9.4,NA,17589198,NA,NA,Sub-Saharan Africa,Low income
2010,Burundi,18.1747416,1,NA,9461117,2.144281519,142000,Sub-Saharan Africa,Low income
2011,Burundi,20.06827414,1.11,NA,9790151,2.340205219,NA,Sub-Saharan Africa,Low income
2012,Burundi,22.81446021,1.219999945,NA,10124572,2.547092053,NA,Sub-Saharan Africa,Low income
2013,Burundi,24.96258806,1.3,NA,10465959,3.053047589,NA,Sub-Saharan Africa,Low income
2014,Burundi,30.46201036,1.38,NA,10816860,3.073599233,NA,Sub-Saharan Africa,Low income
2010,Cabo Verde,76.26543014,30,10.69999981,490379,31.28958193,336000,Sub-Saharan Africa, Lower middle income
2011,Cabo Verde,80.81218046,32,NA,495159,30.70781533,428000,Sub-Saharan Africa, Lower middle income
2012,Cabo Verde,86.02531144,34.74,NA,500870,34.46767609,482000,Sub-Saharan Africa, Lower middle income
2013,Cabo Verde,100.1124481,37.5,NA,507258,34.41792463,503000,Sub-Saharan Africa, Lower middle income
2014,Cabo Verde,121.7897017,40.26,NA,513906,34.04492814,NA,Sub-Saharan Africa, Lower middle income
2010,Cambodia,56.74071111,1.26,0.400000006,14363586,4.013612344,2508000,East Asia & Pacific,Low income
2011,Cambodia,94.18821019,3.1,0.200000003,14593099,4.164757073,2882000,East Asia & Pacific,Low income
2012,Cambodia,128.5272115,4.94,0.200000003,14832255,4.38269659,3584000,East Asia & Pacific,Low income
2013,Cambodia,133.8902393,6.8,0.300000012,15078564,4.668941377,4210000,East Asia & Pacific,Low income
2014,Cambodia,155.1115083,9,NA,15328136,5.583958727,NA,East Asia & Pacific,Low income
2010,Cameroon,41.8760103,4.3,4.099999905,20590666,1.653697544,573000,Sub-Saharan Africa, Lower middle income
2011,Cameroon,49.56740015,5,NA,21119065,1.698963471,604000,Sub-Saharan Africa, Lower middle income
2012,Cameroon,60.40682443,5.69898724,NA,21659488,1.797313133,817000,Sub-Saharan Africa, Lower middle income
2013,Cameroon,70.3904685,6.4,NA,22211166,1.922124042,912000,Sub-Saharan Africa, Lower middle income
2014,Cameroon,75.6851331,11,NA,22773014,1.94452217,NA,Sub-Saharan Africa, Lower middle income
2010,Canada,75.676078,80.3,8.100000381,34005274,24.05296528,16219000,North America, High income: OECD
2011,Canada,77.82549309,83,7.5,34342780,24.1762084,16014000,North America, High income: OECD
2012,Canada,79.56833775,83,7.300000191,34754312,24.26501824,16344000,North America, High income: OECD
2013,Canada,80.61008074,85.8,7.099999905,35158304,24.23639806,16590000,North America, High income: OECD
2014,Canada,82.98444025,87.12,6.900000095,35540419,24.03210854,NA,North America, High income: OECD
2010,Cayman Islands,181.174224,66,6.699999809,55509,NA,288000,Latin America & Caribbean,High income: nonOECD
2011,Cayman Islands,170.9810781,69.46594499,6.800000191,56580,NA,309000,Latin America & Caribbean,High income: nonOECD
2012,Cayman Islands,171.6762203,74.12653069,6.199999809,57522,NA,322000,Latin America & Caribbean,High income: nonOECD
2013,Cayman Islands,167.7693163,74.1,6.300000191,58369,NA,345000,Latin America & Caribbean,High income: nonOECD
2014,Cayman Islands,153.7483538,74.1,NA,59172,NA,NA,Latin America & Caribbean,High income: nonOECD
2010,Central African Republic,22.51148929,2,NA,4444973,0.85211139,54000,Sub-Saharan Africa,Low income
2011,Central African Republic,22.37140338,2.2,NA,4530903,0.869306883,65000,Sub-Saharan Africa,Low income
2012,Central African Republic,25.26102109,3,NA,4619500,0.884905529,71000,Sub-Saharan Africa,Low income
2013,Central African Republic,29.46657548,3.5,NA,4710678,0.935975328,NA,Sub-Saharan Africa,Low income
2014,Central African Republic,31.3598713,4.03,NA,4804316,NA,NA,Sub-Saharan Africa,Low income
2010,Chad,24.53167583,1.7,NA,11896380,0.633695577,71000,Sub-Saharan Africa,Low income
2011,Chad,30.34478288,1.9,NA,12298512,0.693714754,77000,Sub-Saharan Africa,Low income
2012,Chad,35.36487879,2.1,NA,12715465,0.670970113,86000,Sub-Saharan Africa,Low income
2013,Chad,35.56437683,2.3,NA,13145788,0.740485069,100000,Sub-Saharan Africa,Low income
2014,Chad,39.75097997,2.5,NA,13587053,0.9638588,NA,Sub-Saharan Africa,Low income
2010,Channel Islands,NA,NA,NA,159583,NA,NA,Europe & Central Asia,High income: nonOECD
2011,Channel Islands,NA,NA,NA,160489,NA,NA,Europe & Central Asia,High income: nonOECD
2012,Channel Islands,NA,NA,NA,161336,NA,NA,Europe & Central Asia,High income: nonOECD
2013,Channel Islands,NA,NA,NA,162138,NA,NA,Europe & Central Asia,High income: nonOECD
2014,Channel Islands,NA,NA,NA,162917,NA,NA,Europe & Central Asia,High income: nonOECD
2010,Chile,115.7513836,45,8.100000381,17015048,17.28379881,2801000,Latin America & Caribbean, High income: OECD
2011,Chile,128.9269073,52.24960729,7.099999905,17201305,17.19200274,3137000,Latin America & Caribbean, High income: OECD
2012,Chile,137.0811793,61.41815456,6.400000095,17388437,17.0710463,3554000,Latin America & Caribbean, High income: OECD
2013,Chile,134.2890529,66.5,5.900000095,17575833,16.95121502,3576000,Latin America & Caribbean, High income: OECD
2014,Chile,133.2556288,72.35,NA,17762647,16.78263167,NA,Latin America & Caribbean, High income: OECD
2010,China,63.17027802,34.3,2.900000095,1337705000,NA,55664000,East Asia & Pacific,Upper middle income
2011,China,72.0713209,38.3,4.099999905,1344130000,NA,57581000,East Asia & Pacific,Upper middle income
2012,China,80.76271455,42.30011749,4.099999905,1350695000,7.723638534,57725000,East Asia & Pacific,Upper middle income
2013,China,88.70833462,45.8,4.099999905,1357380000,7.811377883,55686000,East Asia & Pacific,Upper middle income
2014,China,92.27349082,49.3,4.099999905,1364270000,8.055359176,NA,East Asia & Pacific,Upper middle income
2010,Colombia,95.76455258,36.5,12,45918101,42.59396833,1405000,Latin America & Caribbean,Upper middle income
2011,Colombia,98.13425332,40.35091575,11.10000038,46406446,72.23664621,2042000,Latin America & Caribbean,Upper middle income
2012,Colombia,102.8549384,48.98,10.60000038,46881018,112.2649994,2175000,Latin America & Caribbean,Upper middle income
2013,Colombia,104.0845439,51.7,8.899999619,47342363,144.3012056,2288000,Latin America & Caribbean,Upper middle income
2014,Colombia,113.0820753,52.57,9.100000381,47791393,256.2589706,NA,Latin America & Caribbean,Upper middle income
2010,Comoros,24.19595919,5.1,NA,698695,1.266492894,15000,Sub-Saharan Africa,Low income
2011,Comoros,30.91017629,5.5,NA,715972,1.482854465,19000,Sub-Saharan Africa,Low income
2012,Comoros,39.51356301,5.975296308,NA,733661,1.686893344,NA,Sub-Saharan Africa,Low income
2013,Comoros,47.28425115,6.5,NA,751697,1.879540264,NA,Sub-Saharan Africa,Low income
2014,Comoros,50.90120382,6.98,NA,769991,1.830307606,NA,Sub-Saharan Africa,Low income
2010,"Congo, Dem. Rep.",19.00647586,0.72,NA,65938712,0.616221786,81000,Sub-Saharan Africa,Low income
2011,"Congo, Dem. Rep.",24.47130767,1.2,NA,68087376,0.626125256,186000,Sub-Saharan Africa,Low income
2012,"Congo, Dem. Rep.",30.58009217,1.679961015,NA,70291160,0.709841502,167000,Sub-Saharan Africa,Low income
2013,"Congo, Dem. Rep.",41.81656407,2.2,NA,72552861,0.668220099,191000,Sub-Saharan Africa,Low income
2014,"Congo, Dem. Rep.",53.49321638,3,NA,74877030,0.820104983,NA,Sub-Saharan Africa,Low income
2010,"Congo, Rep.",90.44274713,5,NA,4066078,2.188998137,194000,Sub-Saharan Africa, Lower middle income
2011,"Congo, Rep.",91.93909914,5.6,NA,4177435,2.665511846,218000,Sub-Saharan Africa, Lower middle income
2012,"Congo, Rep.",98.75682808,6.106695024,NA,4286188,2.840517021,257000,Sub-Saharan Africa, Lower middle income
2013,"Congo, Rep.",104.7695043,6.6,NA,4394334,3.482326022,297000,Sub-Saharan Africa, Lower middle income
2014,"Congo, Rep.",108.1495742,7.11,NA,4504962,NA,NA,Sub-Saharan Africa, Lower middle income
2010,Costa Rica,66.9932126,36.5,7.300000191,4545273,19.82199653,2100000,Latin America & Caribbean,Upper middle income
2011,Costa Rica,87.66035275,39.212196,7.699999809,4600487,22.53488191,2192000,Latin America & Caribbean,Upper middle income
2012,Costa Rica,111.9199133,47.5,7.800000191,4654148,22.40891686,2343000,Latin America & Caribbean,Upper middle income
2013,Costa Rica,145.9716479,45.96,8.5,4706433,21.89759867,2428000,Latin America & Caribbean,Upper middle income
2014,Costa Rica,143.8283795,49.41,9.600000381,4757606,21.62177537,NA,Latin America & Caribbean,Upper middle income
2010,Cote d'Ivoire,82.20152116,2.7,NA,20131707,4.500995913,252000,NA,NA
2011,Cote d'Ivoire,89.44962943,2.9,NA,20604172,4.53450951,270000,NA,NA
2012,Cote d'Ivoire,91.22862939,5,9.399999619,21102641,4.772037505,289000,NA,NA
2013,Cote d'Ivoire,95.44605196,8.4,NA,21622490,4.706836256,NA,NA,NA
2014,Cote d'Ivoire,106.2476093,14.6,NA,22157107,NA,NA,NA,NA
2010,Croatia,113.6081449,56.55,11.60000038,4417781,35.11506328,9111000,Europe & Central Asia,High income: nonOECD
2011,Croatia,118.3013547,57.78997899,13.69999981,4280622,35.79043719,9927000,Europe & Central Asia,High income: nonOECD
2012,Croatia,115.4136047,61.93997315,15.89999962,4267558,35.47311923,10369000,Europe & Central Asia,High income: nonOECD
2013,Croatia,110.0543067,66.7476,17.29999924,4255689,34.56257226,10955000,Europe & Central Asia,High income: nonOECD
2014,Croatia,104.4313214,68.57,17.29999924,4238389,33.8394525,NA,Europe & Central Asia,High income: nonOECD
2010,Cuba,8.890583462,15.9,2.5,11308133,NA,2507000,Latin America & Caribbean,Upper middle income
2011,Cuba,11.66313248,16.0172908,3.200000048,11323570,NA,2688000,Latin America & Caribbean,Upper middle income
2012,Cuba,14.92016162,21.2,3.5,11342631,NA,2815000,Latin America & Caribbean,Upper middle income
2013,Cuba,17.71492741,27.93,3.299999952,11362505,NA,2829000,Latin America & Caribbean,Upper middle income
2014,Cuba,22.47839584,30,NA,11379111,NA,NA,Latin America & Caribbean,Upper middle income
2010,Curacao,138.2651125,NA,NA,148703,NA,342000,NA,NA
2011,Curacao,136.1469876,NA,NA,150831,NA,390000,NA,NA
2012,Curacao,131.8166305,NA,NA,152088,NA,421000,NA,NA
2013,Curacao,128.1821618,NA,NA,153821,NA,441000,NA,NA
2014,Curacao,121.5965545,NA,NA,155872,NA,NA,NA,NA
2010,Cyprus,93.69258439,52.99,6.300000191,1103685,58.39744191,2173000,Europe & Central Asia,High income: nonOECD
2011,Cyprus,97.70992366,56.85989235,7.900000095,1116644,55.8703483,2392000,Europe & Central Asia,High income: nonOECD
2012,Cyprus,98.40043437,60.6898684,11.80000019,1129303,52.28358455,2465000,Europe & Central Asia,High income: nonOECD
2013,Cyprus,96.35942536,65.4548,15.89999962,1141652,39.26050931,2405000,Europe & Central Asia,High income: nonOECD
2014,Cyprus,96.33531011,69.33,16.10000038,1153658,37.70966888,NA,Europe & Central Asia,High income: nonOECD
2010,Czech Republic,122.5551112,68.82,7.300000191,10474410,22.59722226,8185000,Europe & Central Asia, High income: OECD
2011,Czech Republic,124.0943746,70.49,6.699999809,10496088,23.2768068,8508000,Europe & Central Asia, High income: OECD
2012,Czech Republic,126.8464851,73.43000782,7,10510785,23.83981227,8908000,Europe & Central Asia, High income: OECD
2013,Czech Republic,127.7307828,74.1104,7,10514272,24.34230521,9004000,Europe & Central Asia, High income: OECD
2014,Czech Republic,130.0334399,79.71,6.099999905,10510566,24.31653535,NA,Europe & Central Asia, High income: OECD
2010,Denmark,115.669923,88.72,7.5,5547683,40.86845515,8744000,Europe & Central Asia, High income: OECD
2011,Denmark,128.661526,89.81001339,7.599999905,5570572,38.72176103,7864000,Europe & Central Asia, High income: OECD
2012,Denmark,130.2798977,92.26001172,7.5,5591572,34.12108234,8443000,Europe & Central Asia, High income: OECD
2013,Denmark,127.1176716,94.6297,7,5614932,30.11678948,8557000,Europe & Central Asia, High income: OECD
2014,Denmark,125.9578234,95.99,6.599999905,5639565,27.93737643,NA,Europe & Central Asia, High income: OECD
